Year.Month,DenmarkBirths
1915M02,5937
1915M03,6715
1915M04,6036
1915M05,5757
1915M06,5773
1915M07,5599
1915M08,5836
1915M09,5671
1915M10,5640
1915M11,5225
1915M12,5695
1916M01,5837
1916M02,5959
1916M03,6588
1916M04,6541
1916M05,6355
1916M06,5872
1916M07,5896
1916M08,5860
1916M09,5874
1916M10,5608
1916M11,5496
1916M12,5673
1917M01,5890
1917M02,5482
1917M03,6498
1917M04,6426
1917M05,6279
1917M06,5715
1917M07,5842
1917M08,5840
1917M09,5858
1917M10,5735
1917M11,5292
1917M12,5449
1918M01,5912
1918M02,5831
1918M03,6657
1918M04,6468
1918M05,6225
1918M06,5800
1918M07,6027
1918M08,6022
1918M09,6109
1918M10,6020
1918M11,5572
1918M12,5862
1919M01,5727
1919M02,5423
1919M03,5983
1919M04,5692
1919M05,5672
1919M06,5296
1919M07,5326
1919M08,5335
1919M09,5496
1919M10,5864
1919M11,6349
1919M12,6559
1920M01,7053
1920M02,7135
1920M03,7610
1920M04,7089
1920M05,7055
1920M06,6302
1920M07,6255
1920M08,6250
1920M09,6170
1920M10,5928
1920M11,5460
1920M12,5923
1921M01,6606
1921M02,6431
1921M03,7327
1921M04,7022
1921M05,7098
1921M06,6352
1921M07,6520
1921M08,6416
1921M09,6336
1921M10,6131
1921M11,6118
1921M12,6458
1922M01,6637
1922M02,6411
1922M03,6774
1922M04,6652
1922M05,6578
1922M06,6145
1922M07,6181
1922M08,6236
1922M09,5868
1922M10,5369
1922M11,5273
1922M12,5775
1923M01,6365
1923M02,6137
1923M03,7056
1923M04,6674
1923M05,6668
1923M06,6208
1923M07,6336
1923M08,6127
1923M09,6118
1923M10,5794
1923M11,5618
1923M12,5726
1924M01,5967
1924M02,5982
1924M03,6880
1924M04,6567
1924M05,6650
1924M06,6244
1924M07,6060
1924M08,6136
1924M09,6046
1924M10,5952
1924M11,5586
1924M12,5766
1925M01,5858
1925M02,5819
1925M03,6643
1925M04,6405
1925M05,6715
1925M06,5954
1925M07,6088
1925M08,5913
1925M09,5718
1925M10,5600
1925M11,5429
1925M12,5755
1926M01,6117
1926M02,5804
1926M03,6460
1926M04,6219
1926M05,6233
1926M06,5917
1926M07,5809
1926M08,6015
1926M09,5711
1926M10,5480
1926M11,5334
1926M12,5635
1927M01,5989
1927M02,5573
1927M03,6326
1927M04,6022
1927M05,6130
1927M06,5840
1927M07,5796
1927M08,5690
1927M09,5501
1927M10,4829
1927M11,4916
1927M12,5412
1928M01,5800
1928M02,5530
1928M03,6385
1928M04,6182
1928M05,6058
1928M06,5612
1928M07,5610
1928M08,5714
1928M09,5430
1928M10,5472
1928M11,5311
1928M12,5412
1929M01,5653
1929M02,5524
1929M03,5973
1929M04,5857
1929M05,5810
1929M06,5564
1929M07,5471
1929M08,5397
1929M09,5375
1929M10,4914
1929M11,4670
1929M12,5089
1930M01,5211
1930M02,5362
1930M03,6102
1930M04,6004
1930M05,6005
1930M06,5602
1930M07,5458
1930M08,5653
1930M09,5172
1930M10,5279
1930M11,5242
1930M12,5213
1931M01,5477
1931M02,5233
1931M03,6171
1931M04,5674
1931M05,5814
1931M06,5161
1931M07,5446
1931M08,5499
1931M09,5198
1931M10,4995
1931M11,4689
1931M12,4909
1932M01,5252
1932M02,5521
1932M03,6170
1932M04,5714
1932M05,5763
1932M06,5419
1932M07,5474
1932M08,5343
1932M09,5364
1932M10,5054
1932M11,4639
1932M12,4937
1933M01,5166
1933M02,5060
1933M03,5893
1933M04,5554
1933M05,5524
1933M06,5029
1933M07,5282
1933M08,5291
1933M09,5273
1933M10,5039
1933M11,4700
1933M12,4969
1934M01,5478
1934M02,5287
1934M03,6114
1934M04,5623
1934M05,5718
1934M06,5494
1934M07,5348
1934M08,5385
1934M09,5188
1934M10,5121
1934M11,5096
1934M12,5264
1935M01,5503
1935M02,5472
1935M03,6191
1935M04,5885
1935M05,5723
1935M06,5427
1935M07,5443
1935M08,5485
1935M09,5195
1935M10,5143
1935M11,4837
1935M12,4919
1936M01,5213
1936M02,5474
1936M03,6231
1936M04,5873
1936M05,6140
1936M06,5559
1936M07,5491
1936M08,5579
1936M09,5512
1936M10,5178
1936M11,5057
1936M12,5111
1937M01,5349
1937M02,5279
1937M03,6206
1937M04,6231
1937M05,6258
1937M06,5652
1937M07,5858
1937M08,5537
1937M09,5185
1937M10,5094
1937M11,5187
1937M12,5604
1938M01,5681
1938M02,5588
1938M03,6428
1938M04,6094
1938M05,6220
1938M06,5613
1938M07,5644
1938M08,5696
1938M09,5573
1938M10,5260
1938M11,5204
1938M12,5461
1939M01,5554
1939M02,5210
1939M03,6279
1939M04,6177
1939M05,6153
1939M06,5669
1939M07,5762
1939M08,5521
1939M09,5563
1939M10,5444
1939M11,5165
1939M12,5417
1940M01,5847
1940M02,6093
1940M03,6556
1940M04,6290
1940M05,6151
1940M06,5560
1940M07,5842
1940M08,5898
1940M09,5741
1940M10,5587
1940M11,5381
1940M12,5175
1941M01,5320
1941M02,5602
1941M03,6520
1941M04,6334
1941M05,6465
1941M06,5909
1941M07,6166
1941M08,6103
1941M09,6003
1941M10,5842
1941M11,5525
1941M12,5517
1942M01,5886
