Population by municipalities 1901-1990 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1901 1 November,1910 1 December,1920 1 December,1930 2 December,1940 2 December,1950 1 December,1960 1 December,1970 1 December,1980 1 December,1990 1 December,,Latitude,Longitude
"ReykjavÍk (1786, 1923, 1929, 1932, 1943, 1953, 1978)",6667,11600,17679,28304,38196,56251,72407,81693,83766,97569,,64.135338,-21.89521
K„pavogur (1955),.,.,.,.,.,.,6213,11165,13819,16186,,64.1111111,-21.9055556
"Seltjarnarnes (1974, 1978)",.,.,.,.,.,.,.,.,3100,4143,,64.1558234,-22.0053392
"Gar_ab_r (1976, 1978)",.,.,.,.,.,.,.,.,4909,6954,,64.0833333,-21.9
"Hafnarfj_r_ur (1908, 1936, 1959, 1978)",.,1547,2366,3591,3686,5087,7160,9696,12205,15151,,64.0666667,-21.95
Bessasta_ahreppur (1974),.,.,.,.,.,.,.,.,480,1082,,,
"K„pavogshreppur (1948, 1955)",.,.,.,.,.,1647,.,.,.,.,,,
"Seltjarnarneshreppur (1923, 1932, 1943, 1948, 1974)",491,440,440,1062,627,686,1310,2153,.,.,,,
"Mosfellshreppur/-b_r (1923, 1929, 1943, 1953, 1987)",335,313,268,373,492,605,727,986,2928,4259,,,
Kjalarneshreppur,470,258,254,225,195,261,225,201,290,469,,,
Kj„sarhreppur,258,376,340,312,287,276,273,258,201,167,,64.1661111,-21.7091667
Southwest,3761,3061,2976,3321,3977,5835,10102,13670,13302,15202,,64.963051,-19.020835
GrindavÍk (1974),.,.,.,.,.,.,.,.,1929,2172,,63.846191,-22.44479
"KeflavÍk (1949, 1966)",.,.,.,.,.,2395,4700,5663,6622,7525,,64.0011111,-22.5519444
Njar_vÍk (1975),.,.,.,.,.,.,.,.,2008,2405,,64.0011111,-22.5519444
"GrindavÍkurhreppur (1936, 1974)",391,358,438,505,509,527,740,1169,.,.,,,
Hafnahreppur,182,200,170,153,144,186,250,182,143,127,,,
Mi_neshreppur,341,377,448,500,551,613,924,1050,1124,1253,,,
Rosmhvalaneshreppur (1908),953,.,.,.,.,.,.,.,.,.,,,
"Ger_ahreppur (1908, 1966)",.,647,536,396,442,506,625,621,912,1074,,,
"KeflavÍkurhreppur (1908, 1942, 1949)",.,575,650,976,1578,.,.,.,.,.,,,
"Njar_vÍkurhreppur (1908, 1942, 1975)",210,.,.,.,.,568,1312,1512,.,.,,,
Vatnsleysustrandarhreppur,441,432,339,289,254,298,373,387,564,646,,63.981448,-22.3720089
"Gar_ahreppur (1908, 1936, 1959, 1964, 1971, 1974)",932,264,226,347,379,583,1013,2868,.,.,,64.0833333,-21.9
Bessasta_ahreppur (1974),311,208,169,155,120,159,165,218,.,.,,,
West,9772,10268,10102,9577,9936,9975,11973,13205,14884,14537,,64.770434,-21.5341294
"Akranes (1942, 1964)",.,.,.,.,.,2583,3822,4253,5200,5230,,64.322357,-22.07443
"ÓlafsvÍk (1983, 1990)",.,.,.,.,.,.,.,.,.,1216,,64.8941667,-23.7108333
Hvalfjar_arstrandarhreppur (1955),213,203,184,170,157,198,189,181,163,158,,64.2959,-21.9251
Skilmannahreppur,118,108,103,83,99,88,129,126,130,152,,64.2959,-21.9251
Innri-Akraneshreppur (1964),291,232,206,188,143,149,143,117,116,138,,64.2959,-21.9251
Ytri-Akraneshreppur (1942),747,808,929,1270,1840,.,.,.,.,.,,,
Leirˆr- og Melahreppur,197,220,177,155,132,147,143,152,153,157,,64.2959,-21.9251
AndakÍlshreppur,289,326,299,272,266,213,249,236,273,250,,,
Skorradalshreppur (1955),137,152,134,132,132,109,99,65,69,64,,64.505,-21.4647222
Lundarreykjadalshreppur,145,156,120,116,118,101,120,117,120,101,,,
Reykholtsdalshreppur,244,235,215,187,270,256,272,312,317,265,,,
Hˆlsahreppur,139,121,112,102,104,88,85,101,107,93,,,
HvÍtˆrsÍ_uhreppur,153,135,131,124,126,89,99,107,86,73,,,
_verˆrhlÍ_arhreppur,135,129,114,122,93,77,85,101,95,78,,,
Nor_urˆrdalshreppur,175,185,154,139,121,113,134,129,132,113,,,
Stafholtstungnahreppur,302,287,290,250,216,227,219,221,190,196,,,
Borgarhreppur (1913),378,478,307,251,251,198,182,183,175,144,,,
"Borgarnes (1913, 1987)",.,.,361,428,642,774,883,1157,1619,1725,,64.53624,-21.929199
lftaneshreppur,268,237,215,202,172,142,127,135,123,104,,,
Hraunhreppur,274,302,308,248,193,161,154,112,117,110,,,
Kolbeinssta_ahreppur,243,231,193,220,220,168,144,143,149,128,,,
Eyjahreppur,81,116,115,105,97,94,91,80,70,65,,64.835,-22.5625
Miklaholtshreppur,170,196,193,170,175,149,156,166,142,112,,64.835,-22.5625æ
Sta_arsveit ,274,297,276,247,244,190,180,153,128,97,,,
Brei_uvÍkurhreppur,248,181,174,226,239,180,144,120,103,59,,,
Neshreppur utan Ennis,381,491,641,614,485,348,456,587,627,617,,32.3293111,-96.6252679
Neshreppur innan Ennis (1911),807,705,.,.,.,.,.,.,.,.,,32.3293111,-96.6252679
"ÓlafsvÍkurhreppur (1911, 1983)",.,.,442,438,473,468,806,995,1180,.,,,
"Fr„_ˆrhreppur (1911, 1990)",.,.,177,144,93,62,45,30,26,.,,,
Eyrarsveit,298,457,453,394,379,391,542,722,788,817,,,
Helgafellssveit,281,267,261,197,191,110,105,102,87,90,,65.0411111,-22.7291667
Stykkish„lmur (1987),453,721,733,605,675,856,906,1042,1205,1209,,,
Sk„garstrandarhreppur,269,271,231,176,181,117,124,83,92,57,,,
H_r_udalshreppur,178,175,153,136,121,87,76,61,54,45,,,
Mi_dalahreppur,345,343,304,227,199,184,168,173,153,100,,,
Haukadalshreppur,178,157,161,168,118,70,104,90,69,48,,,
Laxˆrdalshreppur,293,322,345,264,235,208,277,358,411,388,,,
Hvammshreppur,188,211,196,142,135,123,111,110,108,91,,,
Fellsstrandarhreppur (1986),187,189,169,172,141,101,94,81,83,82,,,
Skar_sstrandarhreppur (1918),397,333,.,.,.,.,.,.,.,.,,,
"Klofningshreppur (1918, 1986)",.,.,116,104,103,65,48,35,30,.,,,
"Skar_shreppur (1918, 1986)",.,.,170,139,123,81,72,73,52,55,,,
Saurb_jarhreppur ,296,291,240,250,234,210,190,196,142,110,,,
Westfjords,12347,13386,13397,13071,12953,11166,10507,10050,10479,9798,,65.919615,-21.8811763
BolungarvÍk (1974),.,.,.,.,.,.,.,.,1266,1187,,66.15,-23.25
"safj_r_ur (1866, 1918, 1971)",1111,1854,1980,2533,2833,2808,2725,2680,3352,3498,,,
Geiradalshreppur (1987),111,111,104,87,101,93,95,118,91,.,,,
