Population by municipalities 1901-1990 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1901 1 November,1910 1 December,1920 1 December,1930 2 December,1940 2 December,1950 1 December,1960 1 December,1970 1 December,1980 1 December,1990 1 December,,Latitude,Longitude
ReykhÑlahreppur,311,311,275,241,247,243,226,205,225,360,,65.4547046,-22.2001076
Gufudalshreppur (1987),172,172,176,154,143,81,69,68,49,.,,,
Mìlahreppur (1987),170,150,138,126,110,88,58,31,21,.,,,
Flateyjarhreppur (1987),433,397,355,314,276,187,79,53,30,.,,,
Bar_astrandarhreppur ,303,321,335,338,261,192,209,196,188,150,,,
Rau_asandshreppur (1907),813,465,435,331,300,175,154,125,110,92,,,
Patrekshreppur (1907),.,475,436,606,716,860,911,996,1032,926,,,
Tàlknafjar_arhreppur,325,321,332,275,248,180,212,236,340,371,,,
Ketildalahreppur (1987),262,209,246,204,178,73,58,33,26,.,,,
Su_urfjar_ahreppur (1987),469,449,482,443,417,438,437,362,349,.,,,
BÍldudalshreppur (1987),.,.,.,.,.,.,.,.,.,372,,,
Au_kìluhreppur (1990),319,294,253,201,154,90,53,41,33,.,,,
_ingeyrarhreppur (1990),630,755,790,706,645,486,471,463,477,487,,,
M_rahreppur,502,414,389,344,313,216,196,163,146,77,,,
Mosvallahreppur (1922),718,608,705,254,216,176,147,100,95,71,,,
Flateyrarhreppur (1922),.,.,.,392,490,459,529,455,459,396,,,
Su_ureyrarhreppur ,179,361,444,436,437,411,430,503,500,365,,,
Hàlshreppur (1974),546,1021,953,816,751,784,858,978,.,.,,,
"Eyrarhreppur (1918, 1971)",539,592,677,557,442,402,367,397,.,.,,,
Sì_avÍkurhreppur,535,581,529,444,335,305,259,255,253,229,,,
_gurhreppur,380,383,277,261,194,125,127,63,51,36,,,
Reykjarfjar_arhreppur,237,198,185,126,157,105,99,121,93,43,,,
Nauteyrarhreppur,273,220,231,179,160,107,81,79,70,59,,checked upto this one,
Sn_fjallahreppur (1964),362,223,163,145,119,63,48,41,39,13,,,
GrunnavÍkurhreppur (1964),396,281,255,255,223,77,33,.,.,.,,,
Sl_ttuhreppur (1953),439,463,476,470,405,34,-,-,-,-,,,
rneshreppur,444,431,479,434,515,408,287,216,176,121,,,
Kaldrananeshreppur,342,322,325,383,473,478,347,228,193,167,,,
"Hr„fbergshreppur (1943, 1987)",201,230,258,344,473,70,59,47,28,.,,,
"H„lmavÍkurhreppur (1943, 1987)",.,.,.,.,.,443,420,331,398,475,,,
Kirkjub„lshreppur,251,220,186,168,137,111,105,100,80,57,,,
Fellshreppur,99,114,108,99,102,100,78,75,66,66,,,
Óspakseyrarhreppur,109,120,97,104,95,70,71,67,58,46,,,
B_jarhreppur,366,320,323,301,287,228,209,224,185,134,,,
Northwest (1919),8282,8358,9789,9912,10496,10264,10241,9909,10631,10446,,,
Sau_ˆrkr„kur (1947),.,.,.,.,.,1023,1205,1600,2188,2534,,,
Siglufj_r_ur (1919),.,.,1159,2022,2884,3015,2680,2161,2003,1815,,,
Sta_arhreppur,187,150,148,151,134,105,125,146,135,103,,,
Fremri-Torfusta_ahreppur,306,236,256,212,174,138,125,105,88,78,,,
Ytri-Torfusta_ahreppur,227,304,292,242,196,180,206,226,258,216,,,
Hvammstangahreppur (1938),.,.,.,.,314,305,336,361,591,706,,,
Kirkjuhvammshreppur (1938),331,412,474,496,253,208,228,179,160,109,,,
_verˆrhreppur,359,303,331,283,239,159,178,166,141,106,,,
_orkelsh„lshreppur,258,260,296,264,212,182,183,206,198,163,,,
shreppur,232,209,234,233,183,160,159,153,140,111,,,
Sveinssta_ahreppur,230,230,219,178,156,135,129,137,116,106,,,
Torfal_kjarhreppur (1914),322,404,183,165,132,116,145,158,129,121,,,
"Bl_ndu„s (1914, 1936, 1988)",.,.,260,287,436,454,585,690,934,1084,,,
SvÍnavatnshreppur,264,260,281,212,179,167,162,157,157,126,,,
B„lsta_arhlÍ_arhreppur,317,312,325,246,230,199,191,191,171,132,,,
EngihlÍ_arhreppur (1936),246,296,321,241,183,132,129,121,112,87,,,
Vindh_lishreppur (1939),623,646,653,668,127,91,94,78,72,53,,,
H_f_ahreppur (1939),.,.,.,.,315,617,593,532,649,658,,,
Skagahreppur (1939),.,.,.,.,208,151,122,107,91,64,,,
Skefilssta_ahreppur,216,209,204,174,152,88,101,77,61,48,,,
Sau_ˆrhreppur (1907),715,.,.,.,.,.,.,.,.,.,,,
Skar_shreppur (1907),.,199,176,145,107,129,119,101,109,115,,,
"Sau_ˆrkr„kshreppur (1907, 1947)",.,473,513,780,964,.,.,.,.,.,,,
Sta_arhreppur,211,209,215,203,166,166,145,146,129,117,,,
Seyluhreppur,280,271,275,265,249,244,265,243,293,305,,,
L_tingssta_ahreppur,510,448,414,367,356,359,357,328,305,285,,,
Akrahreppur,432,496,497,415,385,327,357,363,323,271,,,
RÍpurhreppur,161,147,143,127,117,112,131,117,107,94,,,
Vi_vÍkurhreppur,218,215,205,178,159,115,94,88,90,95,,,
H„lahreppur,182,250,283,189,209,168,159,164,168,143,,,
"Hofshreppur (1948, 1990)",638,611,628,573,540,243,241,225,181,423,,,
"Hofs„shreppur (1948, 1990)",.,.,.,.,.,291,309,280,298,.,,,
Fellshreppur (1990),170,167,170,127,108,88,68,47,45,.,,,
Haganeshreppur (1988),329,325,324,232,193,185,148,123,87,.,,,
Holtshreppur (1988),318,316,310,237,236,212,172,133,102,.,,,
Flj„tahreppur (1988),.,.,.,.,.,.,.,.,.,178,,,
Northeast (1919),11872,12613,13111,15048,16910,18368,19769,22225,25700,26127,,,
Ólafsfj_r_ur (1945),.,.,.,.,.,947,905,1086,1195,1171,,,
DalvÍk (1974),.,.,.,.,.,.,.,.,1269,1481,,,
"Akureyri (1862, 1909, 1920, 1955)",1347,2084,2575,4198,5564,7188,8835,10755,13420,14174,,,
"HìsavÍk (1950, 1954)",.,.,.,.,.,1279,1514,1993,2414,2503,,,
Hvanneyrarhreppur (1919),420,654,.,.,.,.,.,.,.,.,,,
GrÍmseyjarhreppur,83,101,104,125,104,73,70,79,106,121,,,
"Ólafsfjar_arhreppur (1917, 1945)",377,473,524,717,867,.,.,.,.,.,,,
Svarfa_ardalshreppur (1946),993,981,1046,1040,1064,385,394,326,288,270,,,
"DalvÍkurhreppur (1946, 1974)",.,.,.,.,.,803,907,1065,.,.,,,
HrÍseyjarhreppur (1930),.,.,.,318,337,313,276,291,289,264,,,
"rsk„gshreppur (1911, 1930)",.,.,551,312,369,320,324,337,295,368,,,
"Arnarneshreppur (1911, 1916)",1028,914,426,407,414,377,308,256,245,226,,,
"Skri_uhreppur (1910, 1916)",446,274,230,197,175,184,181,150,147,121,,,
ƒxnadalshreppur (1910),.,112,155,139,103,73,81,88,80,55,,,
Gl_sib_jarhreppur (1955),761,618,723,772,798,909,278,247,239,237,,,
"Hrafnagilshreppur (1909, 1920)",284,320,259,283,321,284,251,280,302,322,,,
Saurb_jarhreppur,599,537,567,460,391,343,351,292,276,250,,,
ƒngulssta_ahreppur,368,395,416,406,417,405,394,387,394,405,,,
Svalbar_sstrandarhreppur,261,241,242,233,252,237,237,236,277,323,,,
Gr_tubakkahreppur,575,577,542,516,491,387,362,363,459,419,,,
"Flateyjarhreppur (1907, 1972)",.,114,106,137,141,107,86,5,.,.,,,
"Hˆlshreppur (1907, 1972)",578,375,368,288,251,242,236,249,232,197,,,
Lj„savatnshreppur (1907),572,281,293,295,295,257,282,291,286,248,,,
Bˆr_d_lahreppur (1907),.,228,204,175,197,190,178,195,172,153,,,
Skìtusta_ahreppur,319,276,345,377,353,332,371,478,547,515,,,
Reykd_lahreppur,396,363,382,441,485,360,389,396,374,313,,,
A_ald_lahreppur,408,400,420,351,417,387,392,396,401,336,,,
"Reykjahreppur (1933, 1954)",.,.,.,.,98,98,92,109,115,110,,,
"HìsavÍkurhreppur (1912, 1922, 1950)",663,926,631,874,1007,.,.,.,.,.,,,
"Tj_rneshreppur (1912, 1922, 1933)",.,.,316,228,128,98,108,114,110,88,,,
Kelduneshreppur,247,234,253,226,230,239,243,224,160,122,,,
ƒxarfjar_arhreppur,185,159,195,178,172,134,147,157,143,119,,,
Fjallahreppur,75,66,81,63,63,31,41,25,29,12,,,
Presth„lahreppur (1945),285,295,424,547,630,294,300,279,315,248,,,
Raufarhafnarhreppur (1945),.,.,.,.,.,346,472,446,493,387,,,
Svalbar_shreppur,252,226,287,256,243,230,226,161,128,122,,,
_„rshafnarhreppur (1946),.,.,.,.,.,363,427,405,439,399,,,
Sau_aneshreppur (1946),350,389,446,489,533,153,111,64,61,48,,,
East,10367,9713,10214,10461,10123,9705,10367,11315,12856,13216,,,
"Sey_isfj_r_ur (1895, 1990)",841,928,871,936,904,744,745,884,998,981,,,
"Neskaupsta_ur (1929, 1943, 1949)",.,.,.,1118,1106,1301,1436,1552,1683,1738,,,
"Eskifj_r_ur (1974, 1988)",.,.,.,.,.,.,.,.,1043,1056,,,
Skeggjasta_ahreppur,249,223,239,281,262,209,176,130,127,132,,,
Vopnafjar_arhreppur,987,742,729,738,713,677,740,808,903,908,,,
HlÍ_arhreppur,133,124,137,133,139,145,144,159,133,98,,,
J_kuldalshreppur,309,232,282,197,230,200,203,175,175,166,,,
Flj„tsdalshreppur,296,287,303,257,227,207,225,202,156,118,,,
Fellahreppur,246,209,219,185,188,165,159,189,296,391,,,
Tunguhreppur,294,229,237,215,203,195,201,136,124,99,,,
Hjaltasta_arhreppur,306,265,214,207,188,168,177,124,101,86,,,
Borgarfjar_arhreppur (1973),398,432,402,317,294,281,348,282,239,215,,,
Lo_mundarfjar_arhreppur (1973),87,67,61,77,50,40,23,1,.,.,,,
Sey_isfjar_arhreppur (1990),280,204,140,159,176,99,60,40,42,.,,,
Skri_dalshreppur,206,168,143,197,138,135,134,135,115,110,,,
Vallahreppur (1947),306,273,257,237,257,186,205,182,174,166,,,
"Egilssta_ir (1947, 1987)",.,.,.,.,.,137,280,718,1140,1457,,,
Ei_ahreppur (1947),242,223,253,148,211,183,196,164,154,153,,,
Mj„afjar_arhreppur,398,295,201,178,189,159,67,49,34,32,,,
"Neshreppur (1913, 1929)",.,.,770,.,.,.,.,.,.,.,,,
"Nor_fjar_arhreppur (1913, 1943, 1949)",620,784,254,218,204,170,127,116,103,85,,,
"Helgusta_ahreppur (1907, 1988)",.,261,246,218,142,131,90,43,38,.,,,
"Eskifjar_arhreppur (1907, 1969, 1974)",.,425,616,759,690,669,741,936,.,.,,,
"Rey_arfjar_arhreppur (1907, 1969)",945,331,454,478,478,499,554,646,726,727,,,
Fˆskrì_sfjar_arhreppur (1907),765,423,426,359,372,284,230,168,122,95,,,
Bì_ahreppur (1907),.,393,461,637,550,581,631,720,760,757,,,
St__varhreppur (1905),.,167,163,173,186,194,219,292,342,343,,,
Brei_dalshreppur (1905),672,360,364,326,305,251,302,338,372,351,,,
Beruneshreppur,221,182,195,152,147,137,150,116,99,79,,,
Bìlandshreppur (1940),.,.,.,.,270,303,309,321,393,456,,,
Geithellnahreppur (1940),404,358,419,434,158,116,118,114,87,71,,,
B_jarhreppur,174,211,226,201,157,106,110,90,73,51,,,
"Nesjahreppur (1946, 1966)",330,328,317,368,449,205,211,216,288,301,,,
"H_fn (1946, 1966, 1988)",.,.,.,.,.,434,632,901,1455,1668,,,
M_rahreppur,220,191,213,185,165,89,117,111,104,92,,,
Borgarhafnarhreppur,206,188,200,181,176,148,153,131,133,115,,,
Hofshreppur,232,210,202,192,199,157,154,126,124,119,,,
South,13311,13250,13754,13604,13596,13847,16018,18052,19637,20402,,,
Vestmannaeyjar (1919),607,1319,2426,3393,3587,3726,4643,5186,4727,4926,,,
Selfoss (1978),.,.,.,.,.,.,.,.,3409,3915,,,
H_rgslandshreppur (1990),301,292,297,275,258,218,200,192,180,.,,,
Kirkjub_jarhreppur (1990),283,252,207,222,197,209,226,225,283,.,,,
Skaftˆrtunguhreppur (1990),135,146,110,108,97,76,87,99,94,.,,,
Lei_vallarhreppur (1990),256,182,223,232,221,152,94,96,84,.,,,
lftavershreppur (1990),115,122,97,106,101,83,72,65,52,.,,,
Skaftˆrhreppur (1990),.,.,.,.,.,.,.,.,.,612,,,
Hvammshreppur (1984),485,510,572,536,451,492,509,534,492,.,,,
Dyrh„lahreppur (1984),369,331,312,244,254,194,185,182,159,.,,,
M_rdalshreppur (1984),.,.,.,.,.,.,.,.,.,599,,,
Austur-Eyjafjallahreppur,419,398,358,308,260,241,257,252,243,195,,,
Vestur-Eyjafjallahreppur,533,502,447,463,415,335,316,282,226,211,,,
Austur-Landeyjahreppur,405,387,358,348,317,240,199,182,211,210,,,
Vestur-Landeyjahreppur,428,300,354,323,269,229,204,179,194,186,,,
Flj„tshlÍ_arhreppur,492,469,434,398,392,394,385,330,251,227,,,
Hvolhreppur,278,249,239,222,225,270,308,442,702,685,,,
Rangˆrvallahreppur,423,394,341,310,306,345,452,584,733,746,,,
Landmannahreppur,310,307,285,262,227,167,157,127,129,134,,,
Holtahreppur,369,372,387,291,304,284,274,312,314,270,,,
sahreppur (1938),709,646,598,580,248,153,184,170,193,158,,,
Djìpˆrhreppur (1938),.,.,.,.,329,305,316,339,297,245,,,
Gaulverjab_jarhreppur,461,376,340,340,314,256,255,231,159,146,,,
Stokkseyrarhreppur,943,897,886,678,749,552,482,476,570,493,,,
Eyrarbakkahreppur (1947),720,840,923,636,495,521,475,511,559,541,,,
SandvÍkurhreppur (1947),299,262,215,216,369,128,139,140,127,113,,,
"Selfosshreppur (1947, 1978)",.,.,.,.,.,999,1767,2397,.,.,,,
Hraunger_ishreppur (1947),376,362,303,249,275,227,233,230,224,194,,,
Villingaholtshreppur,365,362,305,284,278,247,218,231,191,193,,,
Skei_ahreppur,259,298,314,278,241,239,255,263,254,248,,,
Gnìpverjahreppur (1907),282,231,238,229,219,219,244,381,339,304,,,
"Hrunamannahreppur (1978, 1987)",498,454,425,398,408,393,431,484,513,612,,,
"Biskupstungnahreppur (1978, 1987)",591,521,462,403,405,405,468,483,520,483,,,
Laugardalshreppur (1905),.,167,145,278,238,169,226,267,230,237,,,
GrÍmsneshreppur (1905),599,413,391,320,346,316,316,303,278,261,,,
_ingvallahreppur,121,104,95,106,76,79,64,51,48,46,,,
Grafningshreppur,106,101,89,79,75,49,98,73,51,51,,,
"Hverager_i (1946, 1987, 1990)",.,.,.,.,.,529,665,807,1254,1596,,,
"ƒlfushreppur (1946, 1989, 1990)",659,598,475,393,561,345,571,921,1331,1565,,,
Selvogshreppur (1989),115,86,103,96,89,61,43,25,16,.,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
In 1986 counties as administrative units at local level were ,,,,,,,,,,,,,
abolished by law.  Figures in parentheses following the name of the ,,,,,,,,,,,,,
municipality refer to dates of boundary changes affecting the size of ,,,,,,,,,,,,,
"the population, which are explained in an appendix to the table. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"ReykjavÍk (1786, 1923, 1929, 1932, 1943, 1953, 1978):",,,,,,,,,,,,,
"Jar_irnar Brei_holt, Bìsta_ir og Ei_i Í Seltjarnarneshreppi og hluti ",,,,,,,,,,,,,
jar_anna rtìn og rb_r Í Mosfellshreppi lag_ar til ReykjavÍkur.  L_g ,,,,,,,,,,,,,
nr. 46 20. jìnÍ 1923.   gildi 6. jìnÍ 1923. Jar_irnar rtìn og rb_r ,,,,,,,,,,,,,
Í Mosfellshreppi lag_ar a_ fullu til ReykjavÍkur.  L_g nr. 49 14. ,,,,,,,,,,,,,
jìnÍ 1929.   gildi 1. janìar 1929. Jar_irnar _orm„_ssta_ir og ,,,,,,,,,,,,,
Skildinganes Í Seltjarnarneshreppi lag_ar til ReykjavÍkur svo og ,,,,,,,,,,,,,
verslunar sta_urinn Skildinganes.  L_g nr. 69 8. september 1931.   ,,,,,,,,,,,,,
gildi 1. janìar 1932.Jar_irnar Elli_avatn og H„lmur Í ,,,,,,,,,,,,,
"Seltjarnarneshreppi og Gufunes, Keldur, Ei_i, Knìtskot, ",,,,,,,,,,,,,
"Korpìlfssta_ir, Lambhagi, Reynisvatn og hluti Grafarholts Í ",,,,,,,,,,,,,
Mosfellshreppi lag_ar til ReykjavÍkur.  L_g nr. 52 14. aprÍl 1943.   ,,,,,,,,,,,,,
gildi 1. maÍ 1943. J_r_in Grafarholt Í Mosfellshreppi endanlega l_g_ ,,,,,,,,,,,,,
undir ReykjavÍk.  L_g nr. 52 14. aprÍl 1943.   gildi 1. maÍ 1953. ,,,,,,,,,,,,,
"Eyjarnar Vi_ey, Engey og Akurey Í Seltjarnarneshreppi lag_ar til ",,,,,,,,,,,,,
ReykjavÍkur.  M_rk ReykjavÍkur og Seltjarnarness breytast me_ ,,,,,,,,,,,,,
makaskiptum ˆ landi.  L_g nr. 30 12. maÍ 1978.   ,,,,,,,,,,,,,
   ,,,,,,,,,,,,,
   ,,,,,,,,,,,,,
   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
K„pavogur (1955):,,,,,,,,,,,,,
Hreppurinn f_r kaupsta_arr_ttindi.  L_g nr. 30 11. maÍ 1955.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Seltjarnarnes (1974, 1978):",,,,,,,,,,,,,
Hreppnum skipt og K„pavogshreppur stofna_ur ìr hluta hans. ,,,,,,,,,,,,,
Seltjarnarneshreppur tekur yfir Seltjarnarnes vestan ReykjavÍkur og ˆ ,,,,,,,,,,,,,
sameiginleg m_rk me_ ReykjavÍk a_ austan en a_ __ru leyti r__ur ,,,,,,,,,,,,,
strandlengja nessins _eim hreppi.  Honum fylgja einnig eyjar __r er ,,,,,,,,,,,,,
ˆ_ur hafa tilheyrt Seltjarnarneshreppi.  K„pavogshreppur tekur yfir ,,,,,,,,,,,,,
_ann hluta Seltjarnarneshrepps hins forna sem er sunnan og austan ,,,,,,,,,,,,,
ReykjavÍkur og eru hreppam_rk hins n_ja hrepps _essi:  A_ nor_an ,,,,,,,,,,,,,
l_gsagnarumd_mi ReykjavÍkur a_ Elli_akotslandi Í Mosfellshreppi.  ,,,,,,,,,,,,,
Eftir _a_ rˆ_a a_ nor_an og austan landamerki jar_anna Elli_akots Í ,,,,,,,,,,,,,
"Mosfellshreppi og Gunnarsh„lma, Geirlands og L_kjarbotna Í ",,,,,,,,,,,,,
K„pavogshreppi.  A_ sunnan rˆ_a hreppam_rkum landamerki jar_anna ,,,,,,,,,,,,,
"VÍfilssta_a, Hofssta_a og Arnarness Í Gar_ahreppi og Vatnsenda, ",,,,,,,,,,,,,
"FÍfuhvamms, Smˆrahvamms og K„pavogs Í K„pavogshreppi til sjˆvar Í ",,,,,,,,,,,,,
K„pavogi.  _a_an r__ur strandlengjan a_ vestan Í Fossvogsl_kjar„s.  ,,,,,,,,,,,,,
Stj„rnarrˆ_sbr_f nr. 161 10. desember 1948.   gildi 1. janìar 1948.  ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Gar_ab_r (1976, 1978):",,,,,,,,,,,,,
M_rk Gar_ab_jar og Hafnarfjar_ar breytast me_ makaskiptum ˆ landi.  ,,,,,,,,,,,,,
L_g nr. 34 12. maÍ 1978.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Hafnarfj_r_ur (1908, 1936, 1959, 1978):",,,,,,,,,,,,,
Hafnarfjar_arkaupsta_ur stofna_ur ìr landi Gar_ahrepps.  L_g nr. 75 ,,,,,,,,,,,,,
22. n„vember 1907.   gildi 1. jìnÍ 1908. Jar_irnar KrÍsuvÍk og ,,,,,,,,,,,,,
St„ri-N_ib_r Í GrindavÍkurhreppi og land ìr Gar_ahreppi lagt undir ,,,,,,,,,,,,,
Hafnarfj_r_.  L_g nr. 11 1. febrìar 1936. Land ìr Gar_ahreppi lagt ,,,,,,,,,,,,,
undir Hafnarfj_r_.  L_g nr. 31 9. maÍ 1959. Land ìr Gar_ahreppi lagt ,,,,,,,,,,,,,
undir Hafnarfj_r_.  L_g nr. 46 23. maÍ 1964.   ,,,,,,,,,,,,,
Land ìr Gar_ahreppi lagt undir Hafnarfj_r_.  L_g nr. 46 16. aprÍl ,,,,,,,,,,,,,
1971. Land ìr Gar_ahreppi lagt undir Hafnarfj_r_.  L_g nr. 110 31. ,,,,,,,,,,,,,
desember 1974.   ,,,,,,,,,,,,,
   ,,,,,,,,,,,,,
   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bessasta_ahreppur (1974):,,,,,,,,,,,,,
Hreppurinn skilinn frˆ Gullbringus_slu og lag_ur til Kj„sars_slu.  ,,,,,,,,,,,,,
L_g nr. 43 24. aprÍl 1973.   gildi 1. janìar 1974.   ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
