Year,Births
1925,943
1926,1016
1927,936
1928,916
1929,903
1930,892
1931,821
1932,805
1933,794
1934,837
1935,840
1936,837
1937,808
1938,831
1939,846
1940,788
1941,782
1942,949
1943,942
1944,1077
1945,1120
1946,1057
1947,1020
1948,984
1949,995
1950,954
1951,838
1952,966
1953,913
1954,887
1955,850
1956,891
1957,820
1958,825
1959,857
1960,800
1961,808
1962,834
1963,825
1964,853
1965,863
